ID,duration,wav,start,stop,spk_id
id10002--w9H-ZMvdE9M--00001_0.0_3.0,6.1600625,Voxceleb\wav\id10002\w9H-ZMvdE9M\00001.wav,0,48000,id10002
id10002--w9H-ZMvdE9M--00001_3.0_6.0,6.1600625,Voxceleb\wav\id10002\w9H-ZMvdE9M\00001.wav,48000,96000,id10002
id10005--38_N-A-QOUo--00001_0.0_3.0,5.2400625,Voxceleb\wav\id10005\38_N-A-QOUo\00001.wav,0,48000,id10005
id10003--NC70RWJDnMg--00002_0.0_3.0,4.3600625,Voxceleb\wav\id10003\NC70RWJDnMg\00002.wav,0,48000,id10003
id10003--K5zRxtXc27s--00002_0.0_3.0,5.9600625,Voxceleb\wav\id10003\K5zRxtXc27s\00002.wav,0,48000,id10003
id10005--RSguOg1U-NA--00002_0.0_3.0,6.1200625,Voxceleb\wav\id10005\RSguOg1U-NA\00002.wav,0,48000,id10005
id10005--RSguOg1U-NA--00002_3.0_6.0,6.1200625,Voxceleb\wav\id10005\RSguOg1U-NA\00002.wav,48000,96000,id10005
id10005--PP0cQLwYz5M--00004_0.0_3.0,6.9600625,Voxceleb\wav\id10005\PP0cQLwYz5M\00004.wav,0,48000,id10005
id10005--PP0cQLwYz5M--00004_3.0_6.0,6.9600625,Voxceleb\wav\id10005\PP0cQLwYz5M\00004.wav,48000,96000,id10005
id10003--E_6MjfYr0sQ--00044_0.0_3.0,4.1200625,Voxceleb\wav\id10003\E_6MjfYr0sQ\00044.wav,0,48000,id10003
id10003--NC70RWJDnMg--00001_0.0_3.0,4.5200625,Voxceleb\wav\id10003\NC70RWJDnMg\00001.wav,0,48000,id10003
id10005--ZZR6EqjbzwI--00002_0.0_3.0,5.2000625,Voxceleb\wav\id10005\ZZR6EqjbzwI\00002.wav,0,48000,id10005
id10003--yzIXg93UOIM--00010_0.0_3.0,4.2800625,Voxceleb\wav\id10003\yzIXg93UOIM\00010.wav,0,48000,id10003
id10003--_JpHD6VnJ3I--00001_0.0_3.0,4.0000625,Voxceleb\wav\id10003\_JpHD6VnJ3I\00001.wav,0,48000,id10003
id10002--cMGEuZ1zqXk--00003_0.0_3.0,4.7200625,Voxceleb\wav\id10002\cMGEuZ1zqXk\00003.wav,0,48000,id10002
id10001--zELwAz2W6hM--00012_0.0_3.0,4.9600625,Voxceleb\wav\id10001\zELwAz2W6hM\00012.wav,0,48000,id10001
id10004--CWTpJe2RqOA--00002_0.0_3.0,6.4400625,Voxceleb\wav\id10004\CWTpJe2RqOA\00002.wav,0,48000,id10004
id10004--CWTpJe2RqOA--00002_3.0_6.0,6.4400625,Voxceleb\wav\id10004\CWTpJe2RqOA\00002.wav,48000,96000,id10004
id10004--lu_eVSfv3Tg--00009_0.0_3.0,11.0800625,Voxceleb\wav\id10004\lu_eVSfv3Tg\00009.wav,0,48000,id10004
id10004--lu_eVSfv3Tg--00009_3.0_6.0,11.0800625,Voxceleb\wav\id10004\lu_eVSfv3Tg\00009.wav,48000,96000,id10004
id10004--lu_eVSfv3Tg--00009_6.0_9.0,11.0800625,Voxceleb\wav\id10004\lu_eVSfv3Tg\00009.wav,96000,144000,id10004
id10001--zELwAz2W6hM--00003_0.0_3.0,11.5600625,Voxceleb\wav\id10001\zELwAz2W6hM\00003.wav,0,48000,id10001
id10001--zELwAz2W6hM--00003_3.0_6.0,11.5600625,Voxceleb\wav\id10001\zELwAz2W6hM\00003.wav,48000,96000,id10001
id10001--zELwAz2W6hM--00003_6.0_9.0,11.5600625,Voxceleb\wav\id10001\zELwAz2W6hM\00003.wav,96000,144000,id10001
id10001--J9lHsKG98U8--00019_0.0_3.0,10.8000625,Voxceleb\wav\id10001\J9lHsKG98U8\00019.wav,0,48000,id10001
id10001--J9lHsKG98U8--00019_3.0_6.0,10.8000625,Voxceleb\wav\id10001\J9lHsKG98U8\00019.wav,48000,96000,id10001
